Team 1,Goal Scored 1,Ball Possession % 1,Attempts 1,On-Target 1,Off-Target 1,Blocked 1,Corners 1,Offsides 1,Free Kicks 1,Saves 1,Pass Accuracy % 1,Passes 1,Distance Covered (Kms) 1,Fouls Committed 1,Yellow Card 1,Yellow & Red 1,Red 1,1st Goal 1,PSO 1,Goals in PSO 1,Own goals 1,Own goal Time 1,Team 2,Goal Scored 2,Attempts 2,On-Target 2,Off-Target 2,Blocked 2,Corners 2,Offsides 2,Free Kicks 2,Saves 2,Pass Accuracy % 2,Passes 2,Distance Covered (Kms) 2,Fouls Committed 2,Yellow Card 2,Yellow & Red 2,Red 2,1st Goal 2,PSO 2,Goals in PSO 2,Own goals 2,Own goal Time 2,Date,Round,Man of the Match
23,5,40,13,7,3,3,6,3,11,0,78,306,118,22,0,0,0,12.0,0,0,0.0,0.0,24,0,6,0,3,3,2,1,25,2,86,511,105,10,0,0,0,0.0,0,0,0.0,0.0,1,1,1
8,0,43,8,3,3,2,0,1,7,3,78,395,112,12,2,0,0,0.0,0,0,0.0,0.0,31,1,14,4,6,4,5,1,13,3,86,589,111,6,0,0,0,89.0,0,0,0.0,0.0,2,1,0
17,0,64,13,3,6,4,5,0,14,2,86,433,101,22,1,0,0,0.0,0,0,1.0,90.0,13,1,8,2,5,1,2,0,22,2,86,194,100,14,3,0,0,90.0,0,0,0.0,0.0,2,1,0
22,3,39,8,3,2,3,4,1,13,2,87,366,102,12,1,0,0,4.0,0,0,0.0,0.0,27,3,12,5,5,2,5,3,13,0,93,727,103,10,1,0,0,24.0,0,0,0.0,0.0,2,1,0
10,2,51,12,5,4,3,5,0,19,1,87,484,103,16,1,0,0,58.0,0,0,0.0,0.0,1,1,4,1,2,1,1,0,16,4,85,390,111,19,3,0,0,62.0,0,0,1.0,81.0,3,1,1
0,1,72,26,7,9,10,10,0,15,2,92,718,101,10,0,0,0,19.0,0,0,0.0,0.0,12,1,9,3,5,1,2,0,10,7,67,189,105,15,0,0,0,23.0,0,0,0.0,0.0,3,1,0
20,0,52,18,6,7,5,3,5,21,2,85,394,104,10,1,0,0,0.0,0,0,0.0,0.0,7,1,10,3,5,2,7,3,15,6,82,342,110,18,2,0,0,59.0,0,0,0.0,0.0,3,1,0
6,2,54,11,2,7,2,6,2,17,2,84,462,104,20,2,0,0,32.0,0,0,0.0,0.0,18,0,14,2,5,7,5,1,22,1,84,388,101,16,1,0,0,0.0,0,0,1.0,32.0,4,1,1
5,0,50,10,3,3,4,5,1,18,2,83,428,107,18,2,0,0,0.0,0,0,0.0,0.0,26,1,10,3,5,2,4,3,19,3,83,392,109,15,2,0,0,56.0,0,0,0.0,0.0,4,1,0
11,0,60,25,9,9,7,8,1,17,3,88,595,110,10,2,0,0,0.0,0,0,0.0,0.0,16,1,12,4,6,2,1,2,11,9,82,281,106,15,2,0,0,35.0,0,0,0.0,0.0,4,1,1
3,1,52,20,4,9,7,7,1,19,1,88,521,103,12,1,0,0,20.0,0,0,0.0,0.0,29,1,6,2,4,0,2,0,13,3,83,436,108,19,3,0,0,50.0,0,0,0.0,0.0,4,1,1
28,1,52,15,4,5,6,6,1,23,0,84,417,102,20,1,0,0,65.0,0,0,0.0,0.0,15,0,5,0,2,3,5,0,21,3,79,351,103,23,2,0,0,0.0,0,0,0.0,0.0,5,1,1
2,3,61,15,6,7,2,9,1,21,2,89,544,102,17,3,0,0,47.0,0,0,0.0,0.0,19,0,6,2,4,0,3,3,18,2,82,317,100,18,5,0,0,0.0,0,0,0.0,0.0,5,1,1
30,1,41,6,1,3,2,2,2,11,5,82,326,103,14,0,0,0,11.0,0,0,0.0,0.0,9,2,17,7,7,3,7,3,16,0,91,492,105,8,1,0,0,35.0,0,0,0.0,0.0,5,1,0
4,1,41,8,3,1,4,3,2,10,4,82,352,93,15,2,0,1,39.0,0,0,0.0,0.0,14,2,14,6,5,3,6,1,17,2,87,565,101,9,1,0,0,6.0,0,0,0.0,0.0,6,1,0
21,1,57,10,4,5,1,3,3,18,1,88,552,110,8,1,0,0,37.0,0,0,1.0,37.0,25,2,8,2,4,2,3,3,11,3,81,328,107,15,2,0,0,60.0,0,0,0.0,0.0,6,1,0
23,3,47,11,3,5,3,7,0,10,0,76,380,115,11,1,0,0,59.0,0,0,0.0,0.0,8,1,13,1,8,4,4,0,11,1,81,438,110,10,1,0,0,47.0,0,0,1.0,47.0,6,1,1
22,1,47,10,2,4,4,5,1,24,4,76,387,105,19,1,0,0,4.0,0,0,0.0,0.0,17,0,16,4,10,2,7,1,20,1,77,466,107,23,1,0,0,0.0,0,0,0.0,0.0,7,1,1
31,1,47,13,4,6,3,3,1,15,3,88,521,101,10,0,0,0,23.0,0,0,0.0,0.0,24,0,8,3,3,2,4,2,11,3,86,590,100,13,0,0,0,0.0,0,0,0.0,0.0,7,1,1
13,0,30,5,0,5,0,2,2,15,2,69,219,106,14,2,0,0,0.0,0,0,0.0,0.0,27,1,17,3,6,8,6,1,16,0,89,805,105,14,0,0,0,54.0,0,0,0.0,0.0,7,1,0
7,1,49,10,5,5,0,3,1,5,4,88,458,112,7,2,0,0,7.0,0,0,0.0,0.0,1,1,14,5,5,4,5,0,8,5,85,520,114,5,0,0,0,38.0,0,0,0.0,0.0,8,1,1
10,1,44,12,4,6,2,5,0,16,2,77,405,103,11,2,0,0,34.0,0,0,0.0,0.0,20,0,10,2,6,2,3,1,11,3,81,532,102,15,2,0,0,0.0,0,0,0.0,0.0,8,1,1
0,0,58,10,3,3,4,5,3,26,2,81,505,101,15,3,0,0,0.0,0,0,0.0,0.0,6,3,15,5,6,4,2,3,18,3,80,372,104,23,4,0,0,53.0,0,0,0.0,0.0,8,1,0
3,2,66,23,9,9,5,10,3,14,0,90,732,105,11,2,0,0,90.0,0,0,0.0,0.0,5,0,4,0,4,0,1,3,14,7,73,271,109,11,1,0,0,0.0,0,0,0.0,0.0,9,1,1
18,2,58,16,4,6,6,6,1,10,3,84,473,100,9,1,0,0,49.0,0,0,0.0,0.0,12,0,10,3,6,1,5,0,10,2,75,291,106,10,0,0,0,0.0,0,0,0.0,0.0,9,1,1
26,1,42,12,3,7,2,3,0,15,3,78,309,116,17,4,0,0,5.0,0,0,0.0,0.0,29,2,20,5,8,7,7,3,17,2,87,547,112,12,1,0,0,52.0,0,0,0.0,0.0,9,1,0
2,5,52,23,12,8,3,5,3,16,3,84,468,104,12,0,0,0,6.0,0,0,0.0,0.0,30,2,15,5,6,4,2,3,15,6,82,477,102,13,1,0,0,18.0,0,0,0.0,0.0,10,1,1
15,1,41,17,6,2,9,7,0,7,3,82,346,99,24,4,0,0,90.0,0,0,0.0,0.0,16,2,13,5,6,2,5,0,24,5,89,485,97,7,0,0,0,26.0,0,0,0.0,0.0,10,1,0
11,2,71,16,5,4,7,8,5,15,5,91,699,111,12,0,1,0,48.0,0,0,0.0,0.0,28,1,8,6,1,1,3,2,17,4,77,213,110,13,2,0,0,32.0,0,0,0.0,0.0,10,1,1
9,6,58,12,7,3,2,3,3,13,1,94,593,99,14,1,0,0,8.0,0,0,0.0,0.0,19,1,8,2,5,1,2,0,17,1,88,398,89,13,3,0,0,78.0,0,0,0.0,0.0,11,1,1
14,2,54,7,3,2,2,2,2,18,5,84,449,105,8,2,0,0,34.0,0,0,0.0,0.0,25,2,14,7,5,2,5,4,10,1,79,338,102,14,3,0,0,11.0,0,0,0.0,0.0,11,1,0
21,0,45,9,2,3,4,7,1,11,0,79,424,107,15,2,0,0,0.0,0,0,0.0,0.0,4,3,13,3,5,5,5,1,16,2,82,514,108,10,0,0,0,40.0,0,0,0.0,0.0,11,1,0
31,3,56,17,7,6,4,4,0,20,1,88,492,101,17,1,0,0,10.0,0,0,0.0,0.0,23,0,3,1,1,1,2,2,17,5,83,355,98,18,1,1,0,0.0,0,0,1.0,23.0,12,1,1
24,2,61,22,7,10,5,7,1,19,0,90,655,101,7,0,0,0,45.0,0,0,0.0,0.0,8,1,8,1,6,1,2,3,8,5,82,357,106,16,2,0,0,22.0,0,0,0.0,0.0,12,1,0
27,2,68,16,4,11,1,7,1,18,1,91,762,103,5,0,0,0,19.0,0,0,0.0,0.0,17,2,6,3,2,1,1,1,6,1,84,247,111,17,6,0,0,14.0,0,0,0.0,0.0,12,1,1
13,1,32,8,2,5,1,1,1,12,3,69,226,93,16,2,0,0,90.0,0,0,0.0,0.0,22,1,14,4,7,3,5,1,17,1,89,619,89,11,4,0,0,45.0,0,0,0.0,0.0,12,1,0
7,0,38,5,1,2,2,4,1,11,4,72,305,106,10,1,0,0,0.0,0,0,0.0,0.0,10,0,11,4,6,1,2,1,11,1,87,669,104,10,0,0,0,0.0,0,0,0.0,0.0,13,1,0
1,0,53,14,2,7,5,8,3,13,1,86,555,105,13,4,0,0,0.0,0,0,0.0,0.0,20,2,4,3,1,0,3,1,16,2,81,418,100,12,2,0,0,18.0,0,0,0.0,0.0,13,1,0
18,1,34,9,3,5,1,3,0,17,2,76,244,98,20,2,0,0,51.0,0,0,0.0,0.0,0,2,8,4,3,1,5,2,20,2,84,565,101,15,3,0,0,14.0,0,0,0.0,0.0,13,1,0
12,1,41,17,6,8,3,10,1,12,0,73,324,103,10,3,0,0,76.0,0,0,0.0,0.0,6,2,13,2,8,3,5,0,11,5,87,524,101,12,2,0,0,53.0,0,0,0.0,0.0,13,1,1
15,2,30,11,5,5,1,3,0,8,7,74,237,118,16,4,0,0,90.0,0,0,0.0,0.0,11,0,26,6,11,9,9,1,16,3,88,719,115,7,0,0,0,0.0,0,0,0.0,0.0,14,1,1
16,0,65,19,3,8,8,7,2,11,3,83,487,95,14,3,0,0,0.0,0,0,1.0,74.0,28,3,13,5,7,1,3,0,16,3,67,212,102,11,2,0,0,50.0,0,0,0.0,0.0,14,1,0
26,0,44,10,1,5,4,5,2,11,4,78,467,114,13,3,0,0,0.0,0,0,0.0,0.0,3,2,13,6,3,4,9,4,15,1,88,631,105,7,0,0,0,36.0,0,0,0.0,0.0,14,1,0
29,2,60,12,3,5,4,6,1,15,5,87,594,103,9,3,0,0,31.0,0,0,1.0,90.0,5,2,14,6,6,2,5,1,10,1,82,348,103,14,3,0,0,56.0,0,0,0.0,0.0,14,1,1
14,0,54,10,3,4,3,5,1,8,2,86,557,83,11,1,0,0,0.0,0,0,0.0,0.0,21,1,11,2,5,4,7,0,12,3,83,462,80,8,0,0,0,59.0,0,0,0.0,0.0,15,1,0
25,0,43,8,3,4,1,1,3,18,1,78,281,97,15,1,0,0,0.0,0,0,0.0,0.0,4,1,4,2,1,1,3,3,18,3,83,431,100,15,1,0,0,74.0,0,0,0.0,0.0,15,1,0
19,1,36,9,4,4,1,0,4,20,5,77,284,102,18,3,0,0,33.0,0,0,0.0,0.0,30,2,15,7,4,4,6,1,22,4,87,626,107,19,3,0,0,51.0,0,0,1.0,33.0,15,1,0
9,0,48,13,1,7,5,7,3,15,3,88,484,109,11,0,0,0,0.0,0,0,0.0,0.0,2,1,15,4,4,7,2,1,14,1,88,556,106,14,2,0,0,51.0,0,0,0.0,0.0,15,1,0
10,4,41,9,4,4,1,0,0,16,1,84,351,97,21,3,0,0,13.0,0,0,0.0,0.0,0,3,9,4,1,4,4,1,21,0,86,547,96,15,5,0,0,41.0,0,0,0.0,0.0,17,2,1
31,2,39,6,3,2,1,2,0,14,4,69,269,106,13,0,0,0,7.0,0,0,0.0,0.0,22,1,20,5,1,8,10,1,13,1,84,583,107,13,1,0,0,55.0,0,0,0.0,0.0,17,2,1
27,1,75,25,9,6,10,6,1,20,0,91,1137,137,5,1,0,0,12.0,1,3,0.0,0.0,23,1,6,1,3,2,5,1,6,9,72,284,146,19,2,0,0,41.0,1,4,1.0,12.0,88,2,0
6,1,54,22,7,8,7,5,2,19,2,81,626,132,5,0,0,0,4.0,1,3,0.0,0.0,7,1,15,3,10,2,4,0,7,7,79,539,135,19,1,0,0,1.0,1,2,0.0,0.0,88,2,1
3,2,47,21,10,7,4,8,0,20,1,83,398,92,6,2,0,0,51.0,0,0,0.0,0.0,16,0,13,1,4,8,7,2,6,8,85,424,89,18,4,0,0,0.0,0,0,0.0,0.0,89,2,1
2,3,56,24,8,10,6,10,1,10,3,87,621,108,13,0,0,0,69.0,0,0,0.0,0.0,14,2,11,4,4,3,6,1,14,5,83,453,109,9,1,0,0,48.0,0,0,0.0,0.0,89,2,1
28,1,37,12,3,6,3,3,1,13,4,73,271,105,11,1,0,0,66.0,0,0,0.0,0.0,29,0,18,4,5,9,11,0,12,2,84,599,103,13,2,0,1,0.0,0,0,0.0,0.0,90,2,1
4,1,48,14,4,7,3,2,1,15,1,78,516,136,23,6,0,0,90.0,1,3,0.0,0.0,9,1,16,2,9,5,7,2,24,3,82,571,143,13,2,0,0,57.0,1,4,0.0,0.0,90,2,0
31,0,42,11,4,6,1,4,0,15,0,67,322,103,17,2,0,0,0.0,0,0,0.0,0.0,10,2,11,2,7,2,3,0,17,4,81,524,99,15,2,0,0,40.0,0,0,0.0,0.0,93,3,0
3,1,57,26,9,7,10,8,1,16,2,89,557,104,14,2,0,0,0.0,0,0,1.0,13.0,2,2,8,3,3,2,4,0,15,9,83,370,105,16,2,0,0,13.0,0,0,0.0,0.0,93,3,0
28,0,43,7,3,3,1,1,2,8,0,74,379,107,10,2,0,0,0.0,0,0,0.0,0.0,9,2,12,2,4,6,6,1,12,3,80,525,110,7,1,0,0,30.0,0,0,0.0,0.0,94,3,0
23,2,38,13,7,4,2,6,1,18,1,69,399,148,25,1,0,0,31.0,1,3,0.0,0.0,6,2,17,3,10,4,8,0,26,5,82,753,139,18,4,0,0,39.0,1,4,0.0,0.0,94,3,0
10,1,40,19,5,8,6,4,1,17,3,86,342,102,6,2,0,0,51.0,0,0,0.0,0.0,2,0,9,3,5,1,5,1,7,4,90,629,102,16,3,0,0,0.0,0,0,0.0,0.0,97,4,1
6,2,54,22,7,11,4,8,1,17,0,79,622,143,23,2,0,0,68.0,0,0,0.0,0.0,9,1,11,1,6,4,4,3,24,5,79,479,148,14,1,0,0,5.0,0,0,0.0,0.0,98,4,1
2,2,43,12,4,3,5,4,1,5,5,88,510,108,11,1,0,0,4.0,0,0,0.0,0.0,9,0,15,5,7,3,5,0,12,2,92,698,110,5,2,0,0,0.0,0,0,0.0,0.0,101,5,1
10,4,39,8,6,1,1,2,1,14,1,75,271,99,14,2,0,0,18.0,0,0,1.0,18.0,6,2,15,3,8,4,6,1,15,3,83,547,100,13,1,0,0,28.0,0,0,0.0,0.0,102,6,1
